,Category,Name,Phone,Additional Phones,Google Maps URL,Website,Emails,Instagram,Facebook,YouTube,LinkedIn,Twitter,Business Status,Address,Total Reviews,Booking Links,Rating,Hours,Tech Domin
10,Software company,AIRA - HyperAutomation Solutions Pvt Ltd,189165828,"'+917314978110', '7314978110'",https://www.aira.fr//Contact/,https://www.aira.fr/,,'https://www.instagram.com/connect_aira/',,,'https://www.linkedin.com/company/aira-rpa/','https://twitter.com/Aira_RPA',Closes soon⋅ 8 pm ⋅ Opens 10:30 am Mon,"502, Vikram Heights, Yeshwant Niwas Rd, Race Course Road, Indore, Madhya Pradesh 452001",5.0,nan,4.8,Friday10:30 am–8 pmSaturdayClosedSundayClosedMonday10:30 am–8 pmTuesday10:30 am–8 pmWednesday10:30 am–8 pmThursday10:30 am–8 pmSuggest new hours,AI/ML
11,Software company,Castlespy,nan,,https://castlespy.com//Contact/,https://castlespy.com/,,,,,,,Closed⋅ Opens 9 am Mon,"Block Silver Mall, 304 C, RNT Marg, South Tukoganj, Indore, Madhya Pradesh 452001",53.0,nan,4.9,Friday9 am–5:30 pmSaturdayClosedSundayClosedMonday9 am–5:30 pmTuesday9 am–5:30 pmWednesday9 am–5:30 pmThursday9 am–5:30 pmSuggest new hours,Other
12,Software company,Ailogix Software Solutions India Pvt. Ltd.,098107 78213,"'+919810778213', '1736594164', '9893096043', '2644536267', '8592546589', '136581793032', '1736595635', '1365817930', '2644536267352', '1744376568', '1736594163', '1736595628', '+919893096043', '264453626735', '1365817930324', '+18592546589', '9810778213'","https://www.google.com/maps/place/Ailogix+Software+Solutions+India+Pvt.+Ltd./@22.7550547,75.8919536,17z/data=!3m1!4b1!4m6!3m5!1s0x3963035df09fc263:0x7359a04a773d38fe!8m2!3d22.7550547!4d75.8919536!16s%2Fg%2F11f714g3y0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",https://www.ailogix.in/,"'info@example.com', 'sales@ailogix.in', 'AilogixSupport@ailogix.in'","'https://www.instagram.com/ailogixsolution', 'https://www.instagram.com/ailogixsoftwaresolutions', 'https://www.instagram.com/marketinganalystlavina', 'https://www.instagram.com/ailogixsoftwaresolutions?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw=='","'https://www.facebook.com/ailogixindia/', 'https://www.facebook.com/swapnil.sharma.716195', 'https://www.facebook.com/marketinganalystlavina/'","'https://www.youtube.com/embed/', 'https://www.youtube.com/embed/VWoGL8dx5BA?feature=oembed?playlist=VWoGL8dx5BA&mute=0&autoplay=1&loop=1&controls=1&start=0&end='","'https://www.linkedin.com/in/swapnil-sharma-45499419', 'https://www.linkedin.com/in/lavina-sharma-6b7340167/'",'https://twitter.com/ailogixsoftware',Closed⋅ Opens 9:30 am Mon,"No. 202, Mahaveer Palace AG - 147, Scheme No. 54, Vijay Nagar, Indore, Madhya Pradesh 452010",10.0,nan,3.9,Friday9:30 am–6:30 pmSaturdayClosedSundayClosedMonday9:30 am–6:30 pmTuesday9:30 am–6:30 pmWednesday9:30 am–6:30 pmThursday9:30 am–6:30 pmSuggest new hours,AI/ML
13,Software Training Institute,Artificial Edge,096442 78830,"'1710414454', '1710336619', '1741171846', '1710414453', '9196442788', '+919644278830', '1341846242'",https://www.google.com/maps/place/Artificial+Edge/data=!4m7!3m6!1s0x3962fd915ca48e35:0x7a6db0817cfccad4!8m2!3d22.7524921!4d75.8964043!16s%2Fg%2F11hdjcctzl!19sChIJNY6kXJH9YjkR1Mr8fIGwbXo?authuser=0&hl=en&rclk=1,https://artificialedge.com/,'info@artificialedge.com','https://www.instagram.com/artificial_edge/','https://www.facebook.com/artificialedgeindia/',,,,Closed⋅ Opens 10 am Mon,"Virtual Coworks, Mangal city, AB Rd, Scheme No 54, Indore, Madhya Pradesh 452001",120.0,https://artificialedge.com/,4.9,Friday10 am–7 pmSaturdayClosedSundayClosedMonday10 am–7 pmTuesday10 am–7 pmWednesday10 am–7 pmThursday10 am–7 pmSuggest new hours,Other
14,Website designer,Ubikon Technologies Pvt Ltd | Website Design & Mobile App Development,062648 18989,,https://www.ubikon.in/,https://www.ubikon.in/,,,,,,,Open 24 hours,"2nd floor,Swaraj Enter Prices,Above Table World,Behind C21,Vijay Nagar, Vijay Nagar Square, Scheme 54 PU4, Indore, Madhya Pradesh 452010",530.0,https://www.picktime.com/04d833c9-cb43-4de5-bb2d-d88289bc528c,5.0,FridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursSuggest new hours,Other
15,Software company,Arowiz Technologies,nan,'1741948815',https://arowiz.com/contact-us/,https://arowiz.com/,,,,,,,Closed⋅ Opens 10 am Mon,nan,16.0,nan,5.0,Friday10 am–7 pmSaturdayClosedSundayClosedMonday10 am–7 pmTuesday10 am–7 pmWednesday10 am–7 pmThursday10 am–7 pmSuggest new hours,Other
16,Software company,Golden Eagle IT Technologies,095843 09000,"'2137726343', '333333333333', '8305638249', '9584309000', '4570210879', '828388838781', '1668167520', '3474801113', '8283888387', '166666666667', '4355664143', '7987585868', '+12137726343', '43556641434', '+919584309000', '8358947330', '3333333333', '+12233380230', '2233380230', '737078797279', '7370787972797', '7370787972', '6666666667', '+13474801113', '8283888387818'",https://www.google.com/maps/place/Golden+Eagle+IT+Technologies/data=!4m7!3m6!1s0x3962e2c99432dc5b:0x856ffb203358138!8m2!3d22.7172371!4d75.8985295!16s%2Fg%2F11bt_jy3by!19sChIJW9wylMniYjkROIE1A7L_Vgg?authuser=0&hl=en&rclk=1,https://goldeneagle.ai/,"'info@goldeneagle.ai', 'sales@goldeneagle.ai'","'https://www.instagram.com/golden_eagle_technologies', 'https://instagram.com/golden_eagle_technologies', 'https://instagram.com/golden_eagle_technologies?igshid=YmMyMTA2M2Y='","'https://www.facebook.com/geitpltech', 'https://facebook.com/geitpltech'","'https://www.youtube.com/watch', 'https://www.youtube.com/watch?v=3haPBQQ-5_c'","'https://www.linkedin.com/in/dharmendra-chouhan-04a7111b6/', 'https://www.linkedin.com/in/shweta-sharma-3b69b8259/', 'https://www.linkedin.com/company/geitpl/', 'https://www.linkedin.com/in/surbhi-nikam-0190b9203/'",'https://twitter.com/GeitplTech',Open 24 hours,"4th Floor, Plot No. 8, opposite chai coffee, pu4, Vijay Nagar, Indore, Madhya Pradesh 452018",42.0,nan,4.1,FridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursSuggest new hours,Other
17,Software company,Techsolvo | ERP for Manufacturing Units in Indore | Accounting and Billing Software in Indore | AI and ML Solutions,096693 84334,"'+918770863057', '8770863057', '8859994143', '+919669384334', '9669384334', '9196693843', '9187708630', '+918859994143'","https://www.google.com/maps/place/Techsolvo+%7C+ERP+for+Manufacturing+Units+in+Indore+%7C+Accounting+and+Billing+Software+in+Indore+%7C+AI+and+ML+Solutions/@22.6867689,75.8714592,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd82ab00712f:0x4e9d2464ddf5c6dd!8m2!3d22.6867689!4d75.8714592!16s%2Fg%2F11h1hv9w_0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",https://techsolvo.com/,"'hr@techsolvo.com', 'info@techsolvo.com', 'sales@techsolvo.com'",,,,'https://www.linkedin.com/company/techsolvo/','https://twitter.com/techsolvo',Open⋅ Closes 12 am,"204, Atulya IT Park, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014",59.0,https://techsolvo.com/contact-us/,4.6,FridayOpen 24 hoursSaturdayClosedSundayClosedMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursSuggest new hours,AI/ML
18,Software company,HemansAI,090749 19189,"'6020816150', '6020816150355', '602081615035'",https://www.hemansai.com/Contact,https://hemansai.com/,,,,,,,Closed⋅ Opens 9 am Mon,"2nd Floor, 170, Sector D, Scheme 71, Indore, Madhya Pradesh 452009",6.0,nan,5.0,Friday9 am–6 pmSaturdayClosedSundayClosedMonday9 am–6 pmTuesday9 am–6 pmWednesday9 am–6 pmThursday9 am–6 pmSuggest new hours,AI/ML
19,Software company,Mindsmap AI - Best Artificial Intelligence Service in Indore,070004 78823,"'909803921569', '07372549019', '04666666666', '9170004788', '9882352941', '+917000478823', '2117647058', '211764705882', '141299400329', '737254901961', '0627450980', '9607843137', '117749500274', '00627450980', '662745098039', '03176470588', '6117647058', '129940032959', '317647058824', '710235366821', '8823529411', '611764705882', '355117683410', '09607843137', '6627450980', '1299400329', '5117683410', '4666666666', '09098039215', '0235366821', '08823529411', '9098039215', '062745098039', '06117647058', '511768341064', '3176470588', '882352941176', '09882352941', '329411764706', '06627450980', '03294117647', '3294117647', '774950027465', '988235294118', '023536682128', '02117647058', '7749500274', '466666666667', '960784313725', '7372549019'",https://www.google.com/maps/place/Mindsmap+AI+-+Best+Artificial+Intelligence+Service+in+Indore/data=!4m7!3m6!1s0x39631d4a74c6a8c5:0xf7d4a87e529cedaf!8m2!3d22.7647854!4d75.9143656!16s%2Fg%2F11ybhpt3q0!19sChIJxajGdEodYzkRr-2cUn6o1Pc?authuser=0&hl=en&rclk=1,https://mindsmapai.com/,'mindsmapai@gmail.com',,,,'https://www.linkedin.com/company/mindsmapai/',,nan,"418, MR-6, Tulsi Nagar, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010",0.0,nan,nan,nan,AI/ML
20,Software company,Stack Lite,nan,"'06000000000', '2000000000', '10567924130', '14000000000', '12000000000', '400000000000', '6000000000', '600000000000', '4000000000', '0567924130', '200000000000', '79241300675'",https://www.google.com/maps/place/Stack+Lite/data=!4m7!3m6!1s0x7dd0928568b756d:0xf1ec68d80a6add73!8m2!3d22.75521!4d75.8968202!16s%2Fg%2F11y8jvnr5m!19sChIJbXWLVigJ3QcRc91qCtho7PE?authuser=0&hl=en&rclk=1,https://www.stacklite.io/,'contact@stacklite.io',,,,'https://www.linkedin.com/company/stack-lite-io',,nan,"Vijay Nagar, NextCoworks, Scheme No 54, Indore, Madhya Pradesh 452010",2.0,nan,5.0,nan,Other
21,Software company,Arowiz Technologies,nan,'1741948815',https://arowiz.com/contact-us/,https://arowiz.com/,,,,,,,Closed⋅ Opens 10 am Mon,nan,16.0,nan,5.0,Friday10 am–7 pmSaturdayClosedSundayClosedMonday10 am–7 pmTuesday10 am–7 pmWednesday10 am–7 pmThursday10 am–7 pmSuggest new hours,Other
22,Software company,Mindpath Tech Pvt Ltd,nan,"'1742473065', '+917880001620', '0788000162', '1729687548', '07880001620', '1741601331', '7880001620', '1729688394', '1729688393', '1729686568'",https://www.google.com/maps/place/Mindpath+Tech+Pvt+Ltd/data=!4m7!3m6!1s0x3962fd57b9382b1d:0xa44f9425d9bff42c!8m2!3d22.6867398!4d75.8712148!16s%2Fg%2F11bv2lv5z3!19sChIJHSs4uVf9YjkRLPS_2SWUT6Q?authuser=0&hl=en&rclk=1,https://mindpathtech.com/,'info@mindpathtech.com','https://www.instagram.com/mindpathtech/','https://www.facebook.com/mindpathech/',,'https://www.linkedin.com/company/mindpath-technology-limited/',,Open⋅ Closes 8:30 pm,"406, Atulya IT Park, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014",27.0,nan,4.6,Friday9 am–8:30 pmSaturdayClosedSundayClosedMonday9 am–8:30 pmTuesday9 am–8:30 pmWednesday9 am–8:30 pmThursday9 am–8:30 pmSuggest new hours,Other
23,Software company,FOXAISR,080843 78326,,https://www.foxaisr.com/,https://www.foxaisr.com/,,,,,,,Closes soon⋅ 8 pm ⋅ Opens 10 am Sat,"238, Scheme No. 114, AB Rd, opposite Mahindra Showroom, Part 1, Vijay Nagar, Indore, Madhya Pradesh 452010",28.0,nan,4.8,Friday10 am–8 pmSaturday10 am–8 pmSundayClosedMonday10 am–8 pmTuesday10 am–8 pmWednesday10 am–8 pmThursday10 am–8 pmSuggest new hours,AI/ML
24,Software company,Deepiotics,098263 24365,"'095741742100', '1246034138240', '1246034138', '124603413824', '0957417421', '0957417421003'",https://www.google.com/maps/place/Deepiotics/data=!4m7!3m6!1s0x3962e30815577acb:0xbfe41b2c2b91d41!8m2!3d22.7241016!4d75.9158876!16s%2Fg%2F11j4dz41v4!19sChIJy3pXFQjjYjkRQR25wrJB_gs?authuser=0&hl=en&rclk=1,https://www.deepiotics.com/,'info@deepiotics.com','https://www.instagram.com/deepioticsai/',"'https://www.facebook.com/deepioticsai/', 'https://www.facebook.com/deepioticsai/?modal=admin_todo_tour'","'https://www.youtube.com/watch', 'https://www.youtube.com/watch?v=G_gR5HrVwCU'","'https://www.linkedin.com/uas/', 'https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fm%2Fcompany%2Fdeepiotics'",,Closes soon⋅ 8 pm ⋅ Opens 10 am Sat,"A-88, Kanadia Main Rd, Sanchar Nagar Ext, Vaibhav Nagar Sector A, Indore, Madhya Pradesh 452016",13.0,nan,5.0,Friday10 am–8 pmSaturday10 am–8 pmSunday10 am–8 pmMonday10 am–8 pmTuesday10 am–8 pmWednesday10 am–8 pmThursday10 am–8 pmSuggest new hours,Other
25,Software company,Anaxee Digital Runners Pvt. Ltd.,091790 20006,,"https://www.google.com/maps/place/Anaxee+Digital+Runners+Pvt.+Ltd./@22.7532034,75.8656076,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd2f4469c3ad:0xc53bd242dc3a5384!8m2!3d22.7532034!4d75.8656076!16s%2Fg%2F1tf85h2z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",http://www.anaxee.com/,,,,,,,Closed⋅ Opens 10 am Sat,"3rd floor, New IT Park Building, 303, Right-wing, (use Lift#1, Pardesi Pura Main Rd, Electronic Complex, Sukhliya, Indore, Madhya Pradesh 452003",374.0,nan,4.5,Friday10 am–6 pmSaturday10 am–6 pmSundayClosedMonday10 am–6 pmTuesday10 am–6 pmWednesday10 am–6 pmThursday10 am–6 pmSuggest new hours,Other
26,Software Training Institute,Universal Informatics,074711 28437,'9566137117',https://www.google.com/maps/place/Universal+Informatics/data=!4m7!3m6!1s0x3962fd400a8df843:0x5410c632114a974e!8m2!3d22.7252817!4d75.8779131!16s%2Fg%2F1txnmw0t!19sChIJQ_iNCkD9YjkRTpdKETLGEFQ?authuser=0&hl=en&rclk=1,http://www.universalinformatics.com/,'info@tympanus.net',,'https://www.facebook.com/universalinformatics',,,,Closes soon⋅ 8 pm ⋅ Opens 8 am Sat,"Abhay Prashal Building, B-WING, Race Course Rd, opp. IDA Building, Race Course Road, Indore, Madhya Pradesh 452003",946.0,nan,4.5,Friday8 am–8 pmSaturday8 am–8 pmSundayClosedMonday8 am–8 pmTuesday8 am–8 pmWednesday8 am–8 pmThursday8 am–8 pmSuggest new hours,Other
